"","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol"
"volatile.acidity",0,0.98874296435272,1,1,1,1,1,1,0.983114446529081,1
"citric.acid",0.98874296435272,0,1,0.996873045653533,1,1,1,1,0.99812382739212,1
"residual.sugar",1,1,0,1,0.99812382739212,0.999374609130707,1,0.999374609130707,1,1
"chlorides",1,0.996873045653533,1,0,1,1,1,1,1,1
"free.sulfur.dioxide",1,1,0.99812382739212,1,0,1,1,1,1,0.993746091307067
"total.sulfur.dioxide",1,1,0.999374609130707,1,1,0,1,1,1,0.999374609130707
"density",1,1,1,1,1,1,0,1,1,1
"pH",1,1,0.999374609130707,1,1,1,1,0,1,1
"sulphates",0.983114446529081,0.99812382739212,1,1,1,1,1,1,0,1
"alcohol",1,1,1,1,0.993746091307067,0.999374609130707,1,1,1,0
